div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2015,29nov2015,Arsenal,14,0,1,1,Norwich,1,1,23,1
E0,2015,05dec2015,Arsenal,15,1,3,3,Sunderland,0,1,1,29
E0,2015,13dec2015,Arsenal,16,0,3,2,Aston Villa,0,0,2,1
E0,2015,21dec2015,Arsenal,17,1,3,2,Man City,0,1,1,19
E0,2015,26dec2015,Arsenal,18,0,0,0,Southampton,3,4,27,1
E0,2015,28dec2015,Arsenal,19,1,3,2,Bournemouth,0,0,1,7
E0,2015,02jan2016,Arsenal,20,1,3,1,Newcastle,0,0,1,22
E0,2015,13jan2016,Arsenal,21,0,1,3,Liverpool,1,3,18,1
E0,2015,17jan2016,Arsenal,22,0,1,0,Stoke,1,0,28,1
E0,2015,24jan2016,Arsenal,23,1,0,0,Chelsea,3,1,1,11
E0,2015,02feb2016,Arsenal,24,1,1,0,Southampton,1,0,1,27
E0,2015,07feb2016,Arsenal,25,0,3,2,Bournemouth,0,0,7,1
E0,2015,14feb2016,Arsenal,26,1,3,2,Leicester,0,1,1,17
E0,2015,28feb2016,Arsenal,27,0,0,2,Man United,3,3,20,1
E0,2015,02mar2016,Arsenal,28,1,0,1,Swansea,3,2,1,30
E0,2015,05mar2016,Arsenal,29,0,1,2,Tottenham,1,2,31,1
E0,2015,19mar2016,Arsenal,30,0,3,2,Everton,0,0,13,1
E0,2015,02apr2016,Arsenal,31,1,3,4,Watford,0,0,1,32
E0,2015,09apr2016,Arsenal,32,0,1,3,West Ham,1,3,34,1
E0,2015,17apr2016,Arsenal,33,1,1,1,Crystal Palace,1,1,1,12
E0,2015,21apr2016,Arsenal,34,1,3,2,West Brom,0,0,1,33
E0,2015,24apr2016,Arsenal,35,0,1,0,Sunderland,1,0,29,1
E0,2015,30apr2016,Arsenal,36,1,3,1,Norwich,0,0,1,23
E0,2015,08may2016,Arsenal,37,0,1,2,Man City,1,2,19,1
E0,2015,15may2016,Arsenal,38,1,3,4,Aston Villa,0,0,1,2
E0,2016,14aug2016,Arsenal,1,1,0,3,Liverpool,3,4,1,18
E0,2016,20aug2016,Arsenal,2,0,1,0,Leicester,1,0,17,1
E0,2016,27aug2016,Arsenal,3,0,3,3,Watford,0,1,32,1
E0,2016,10sep2016,Arsenal,4,1,3,2,Southampton,0,1,1,27
E0,2016,17sep2016,Arsenal,5,0,3,4,Hull,0,1,16,1
E0,2016,24sep2016,Arsenal,6,1,3,3,Chelsea,0,0,1,11
E0,2016,02oct2016,Arsenal,7,0,3,1,Burnley,0,0,9,1
E0,2016,15oct2016,Arsenal,8,1,3,3,Swansea,0,2,1,30
E0,2016,22oct2016,Arsenal,9,1,1,0,Middlesbrough,1,0,1,21
E0,2016,29oct2016,Arsenal,10,0,3,4,Sunderland,0,1,29,1
E0,2016,06nov2016,Arsenal,11,1,1,1,Tottenham,1,1,1,31
